"key";"en";"de";"creationDate";"modificationDate";
"news";"news";"News";1460395362;1460395362;
"show only top news";"Show only top news";"Nur Top News anzeigen";1460395362;1460395362;
"show pagination";"Show Pagination";"Paginierung anzeigen";1460395362;1460395362;
"max records displayed";"Max Records displayed";"Anzahl der anzuzeigenden News";1460395362;1460395362;
"category";"Category";"Kategorie";1460395362;1460395362;
"categories";"Categories";"Kategorien";1460395362;1460395362;
"latest news";"is top news";"Ist eine Top News";1460395362;1460395362;
"lead";"Lead";"Auszug";1460395362;1460395362;
"seo title";"SEO Title";"SEO Titel";1460395362;1460395362;
"seo description";"SEO Description";"SEO Beschreibung";1460395362;1460395362;
"detail url";"detail url";"Detail Url";1460395362;1460395362;
"date";"Date";"Datum";1460395362;1460395362;
"media";"Media";"Medien";1460395362;1460395362;
"images";"Images";"Bilder";1460395362;1460395362;
"redirect link";"Redirect Link";"Detail-Link überschreiben";1460395362;1460395362;
"name";"Name";"Name";1476276792;1476276792;
"sort by";"Sort by";"Sortieren nach";1476276792;1476276792;
"sort direction";"Sort direction";"Sortierung";1476276792;1476276792;
"descending";"descending";"absteigend";1476276792;1476276792;
"ascending";"ascending";"aufsteigend";1476276792;1476276792;
"max records displayed";"Max records displayed";"Maximale Anzahl anzuzeigender Datensätze";1476276792;1476276792;
"items per page";"Items per Page";"Einträge pro Seite";1476276792;1476276792;
"layout";"Layout";"Layout";1476276792;1476276792;
"include subcategories";"Include subcategories";"Inklusive Unterkategorien";1476276792;1476276792;
"newsentry";"News Article";"News Beitrag";1476276792;1476276792;
"newscategory";"News Category";"News Kategorie";1476276792;1476276792;
